token	corpus size	all contexts size	frequency	co-frequency	specificity
allergy	98446	11949	1	1	0.92
desk	98446	11949	1	1	0.92
laptop	98446	11949	1	1	0.92
gripe	98446	11949	1	1	0.92
witching	98446	11949	1	1	0.92
themself	98446	11949	1	1	0.92
rattles	98446	11949	1	1	0.92
Coping	98446	11949	1	1	0.92
scabbed	98446	11949	1	1	0.92
Mandy	98446	11949	1	1	0.92
breastfeeds	98446	11949	1	1	0.92
premature	98446	11949	1	1	0.92
survival	98446	11949	1	1	0.92
salmon	98446	11949	1	1	0.92
lullabies	98446	11949	1	1	0.92
Bellefonds	98446	11949	1	1	0.92
sweat	98446	11949	1	1	0.92
Gentle	98446	11949	1	1	0.92
peacefully	98446	11949	1	1	0.92
telephone	98446	11949	1	1	0.92
dangling	98446	11949	1	1	0.92
grand	98446	11949	1	1	0.92
scar	98446	11949	1	1	0.92
week-by-week	98446	11949	1	1	0.92
Catherine	98446	11949	1	1	0.92
Cram	98446	11949	1	1	0.92
physiologist	98446	11949	1	1	0.92
Maternal-Fetal	98446	11949	1	1	0.92
bassinet	98446	11949	1	1	0.92
peas	98446	11949	1	1	0.92
tablescape	98446	11949	1	1	0.92
colored	98446	11949	1	1	0.92
purees	98446	11949	1	1	0.92
Age-by-age	98446	11949	1	1	0.92
halves	98446	11949	1	1	0.92
wrapping	98446	11949	1	1	0.92
playroom	98446	11949	1	1	0.92
Meeting	98446	11949	1	1	0.92
sling	98446	11949	1	1	0.92
Jenn	98446	11949	1	1	0.92
Bonicelli	98446	11949	1	1	0.92
Hertzfeldt	98446	11949	1	1	0.92
blowouts	98446	11949	1	1	0.92
overnights	98446	11949	1	1	0.92
lotions	98446	11949	1	1	0.92
Tamekia	98446	11949	1	1	0.92
Reece	98446	11949	1	1	0.92
formulas	98446	11949	1	1	0.92
convenient	98446	11949	1	1	0.92
pumping	98446	11949	1	1	0.92
Dahlia	98446	11949	1	1	0.92
Rimmon	98446	11949	1	1	0.92
RDN	98446	11949	1	1	0.92
nutritionist-approved	98446	11949	1	1	0.92
solids	98446	11949	1	1	0.92
card	98446	11949	1	1	0.92
Milkies	98446	11949	1	1	0.92
freezer	98446	11949	1	1	0.92
bargains	98446	11949	1	1	0.92
coming-home	98446	11949	1	1	0.92
pets	98446	11949	1	1	0.92
congestion	98446	11949	1	1	0.92
Esther	98446	11949	1	1	0.92
Carlstone	98446	11949	1	1	0.92
machines	98446	11949	1	1	0.92
pediatricians	98446	11949	1	1	0.92
boxes	98446	11949	1	1	0.92
Marygrace	98446	11949	1	1	0.92
onesieLabor	98446	11949	1	1	0.92
onesie	98446	11949	1	1	0.92
check-up	98446	11949	1	1	0.92
rugged	98446	11949	1	1	0.92
surround	98446	11949	1	1	0.92
IslandsSALVAMENTO	98446	11949	1	1	0.92
travelled	98446	11949	1	1	0.92
rescuers	98446	11949	1	1	0.92
board	98446	11949	1	1	0.92
totally	98446	11949	1	1	0.92
naked	98446	11949	1	1	0.92
Domingo	98446	11949	1	1	0.92
Trujillo	98446	11949	1	1	0.92
passenger	98446	11949	1	1	0.92
towing	98446	11949	1	1	0.92
LanzaroteSALVAMENTO	98446	11949	1	1	0.92
portraiture	98446	11949	1	1	0.92
hospitals	98446	11949	1	1	0.92
artistic	98446	11949	1	1	0.92
cuddled	98446	11949	1	1	0.92
blankets	98446	11949	1	1	0.92
photojournalistic	98446	11949	1	1	0.92
-year	98446	11949	1	1	0.92
bike	98446	11949	1	1	0.92
tailored	98446	11949	1	1	0.92
Transforming	98446	11949	1	1	0.92
Together	98446	11949	1	1	0.92
Newsbeat	98446	11949	1	1	0.92
Regions	98446	11949	1	1	0.92
sleeveless	98446	11949	1	1	0.92
cradled	98446	11949	1	1	0.92
tattooed	98446	11949	1	1	0.92
Prof	98446	11949	1	1	0.92
slippery	98446	11949	1	1	0.92
daunting	98446	11949	1	1	0.92
folds	98446	11949	1	1	0.92
groin	98446	11949	1	1	0.92
armpits	98446	11949	1	1	0.92
bedtime	98446	11949	1	1	0.92
settle	98446	11949	1	1	0.92
preferably	98446	11949	1	1	0.92
built-in	98446	11949	1	1	0.92
hood	98446	11949	1	1	0.92
Undress	98446	11949	1	1	0.92
wrap	98446	11949	1	1	0.92
Lay	98446	11949	1	1	0.92
expose	98446	11949	1	1	0.92
wring	98446	11949	1	1	0.92
dampened	98446	11949	1	1	0.92
dipped	98446	11949	1	1	0.92
rinsing	98446	11949	1	1	0.92
centimeters	98446	11949	1	1	0.92
undivided	98446	11949	1	1	0.92
securely	98446	11949	1	1	0.92
chilled	98446	11949	1	1	0.92
nondominant	98446	11949	1	1	0.92
Continue	98446	11949	1	1	0.92
opposite	98446	11949	1	1	0.92
dirtier	98446	11949	1	1	0.92
scalp	98446	11949	1	1	0.92
damp	98446	11949	1	1	0.92
cupping	98446	11949	1	1	0.92
suds	98446	11949	1	1	0.92
unscented	98446	11949	1	1	0.92
moisturizer	98446	11949	1	1	0.92
Induced	98446	11949	1	1	0.92
Pacifiers	98446	11949	1	1	0.92
Caucasian	98446	11949	1	1	0.92
bitcoin	98446	11949	1	1	0.92
teacher	98446	11949	1	1	0.92
teachers	98446	11949	1	1	0.92
Repeat	98446	11949	1	1	0.92
mat	98446	11949	1	1	0.92
cloth	98446	11949	1	1	0.92
pulls	98446	11949	1	1	0.92
dumping	98446	11949	1	1	0.92
Sit	98446	11949	1	1	0.92
mealtime	98446	11949	1	1	0.92
cheerful	98446	11949	1	1	0.92
goodbye	98446	11949	1	1	0.92
sneaking	98446	11949	1	1	0.92
sees	98446	11949	1	1	0.92
mad	98446	11949	1	1	0.92
fertilization	98446	11949	1	1	0.92
frustrating	98446	11949	1	1	0.92
Preterm	98446	11949	1	1	0.92
pregnancies	98446	11949	1	1	0.92
Formula-fed	98446	11949	1	1	0.92
breast-fed	98446	11949	1	1	0.92
smoked	98446	11949	1	1	0.92
breast-feeding	98446	11949	1	1	0.92
Feelings	98446	11949	1	1	0.92
exhaustion	98446	11949	1	1	0.92
helplessness	98446	11949	1	1	0.92
Shaken	98446	11949	1	1	0.92
prompted	98446	11949	1	1	0.92
Shaking	98446	11949	1	1	0.92
install	98446	11949	1	1	0.92
busiest	98446	11949	1	1	0.92
beverage	98446	11949	1	1	0.92
Ensure	98446	11949	1	1	0.92
Buckling	98446	11949	1	1	0.92
long-haul	98446	11949	1	1	0.92
snooze	98446	11949	1	1	0.92
noise-canceling	98446	11949	1	1	0.92
headphones	98446	11949	1	1	0.92
decrease	98446	11949	1	1	0.92
decibel	98446	11949	1	1	0.92
exposed	98446	11949	1	1	0.92
Flight	98446	11949	1	1	0.92
backfire	98446	11949	1	1	0.92
scream	98446	11949	1	1	0.92
diphenhydramine	98446	11949	1	1	0.92
Benadryl	98446	11949	1	1	0.92
disposable	98446	11949	1	1	0.92
Despite	98446	11949	1	1	0.92
Carrying	98446	11949	1	1	0.92
airport	98446	11949	1	1	0.92
guardians	98446	11949	1	1	0.92
DS-	98446	11949	1	1	0.92
identification	98446	11949	1	1	0.92
late-night	98446	11949	1	1	0.92
Intro	98446	11949	1	1	0.92
ooh-ooh-ooh	98446	11949	1	1	0.92
Alt	98446	11949	1	1	0.92
slap	98446	11949	1	1	0.92
Outro	98446	11949	1	1	0.92
Goblin	98446	11949	1	1	0.92
Jareth	98446	11949	1	1	0.92
kidnaps	98446	11949	1	1	0.92
feeds	98446	11949	1	1	0.92
sings	98446	11949	1	1	0.92
dances	98446	11949	1	1	0.92
jig	98446	11949	1	1	0.92
blew	98446	11949	1	1	0.92
ain	98446	11949	1	1	0.92
vague	98446	11949	1	1	0.92
examples	98446	11949	1	1	0.92
gif	98446	11949	1	1	0.92
Specific	98446	11949	1	1	0.92
